iter	Logloss
0	0.5898777861
1	0.5092251015
2	0.4478100217
3	0.420500158
4	0.3992167893
5	0.3867026972
6	0.3578078629
7	0.3356512421
8	0.3192560607
9	0.3065358736
10	0.2964433047
11	0.2925945725
12	0.2855363524
13	0.2800224756
14	0.2777725306
15	0.2732918697
16	0.2711233297
17	0.2693284344
18	0.2676243493
19	0.2661473166
20	0.2643120979
21	0.2616665699
22	0.2595508643
23	0.2576374902
24	0.2561699179
25	0.2550873011
26	0.2531255285
27	0.2523357181
28	0.2513743041
29	0.2505405256
30	0.2492193572
31	0.2484156248
32	0.2474324145
33	0.2466525972
34	0.2453659484
35	0.2445899956
36	0.2438466512
37	0.243272503
38	0.2425890057
39	0.2419250991
40	0.2412341798
41	0.2405116944
42	0.2400056441
43	0.2396635402
44	0.239115652
45	0.2386121243
46	0.2382262693
47	0.2378030981
48	0.2373004776
49	0.2369971564
50	0.2365718636
51	0.2361518202
52	0.235632007
53	0.2352286686
54	0.2348614427
55	0.2344495317
56	0.2341523362
57	0.2337757541
58	0.2334710277
59	0.2330499286
60	0.2328095582
61	0.2323650881
62	0.2320782796
63	0.2317837579
64	0.231491812
65	0.2312427102
66	0.230976574
67	0.230614602
68	0.2304008771
69	0.2302276081
70	0.2299665544
71	0.2296324424
72	0.2293680352
73	0.2290816546
74	0.2288159177
75	0.2285183724
76	0.2283478234
77	0.2280090873
78	0.2278479595
79	0.227527905
80	0.2272538777
81	0.2269560076
82	0.2266990716
83	0.2264603636
84	0.2262339429
85	0.2259849443
86	0.2256956168
87	0.2254761963
88	0.2252042191
89	0.2249799388
90	0.2248011124
91	0.2245597663
92	0.2243471417
93	0.2240843662
94	0.2238934501
95	0.2237473316
96	0.2235386868
97	0.2232994831
98	0.2231056499
99	0.222869793
100	0.2226534834
101	0.2224734061
102	0.222297875
103	0.2221239063
104	0.2219101019
105	0.2216123401
106	0.2213017318
107	0.2210947823
108	0.22100305
109	0.220770234
110	0.2206480248
111	0.2204365071
112	0.2201863036
113	0.219921435
114	0.2196829023
115	0.2194264269
116	0.2191840065
117	0.2190813322
118	0.2188549394
119	0.2187381943
120	0.2185173648
121	0.2181876944
122	0.2181014397
123	0.2179263617
124	0.2175773316
125	0.2173751269
126	0.2172804269
127	0.2170773891
128	0.2169148971
129	0.216814123
130	0.2166565205
131	0.2164497787
132	0.2162877871
133	0.2161048411
134	0.2160160388
135	0.2159215124
136	0.215833651
137	0.2156489557
138	0.2154773929
139	0.2152134192
140	0.2150887055
141	0.2149998598
142	0.2149126507
143	0.214755823
144	0.2145125474
145	0.2144145884
146	0.2142149054
147	0.2139984939
148	0.2138514108
149	0.2137172464
150	0.2136029139
151	0.2134208861
152	0.2132751112
153	0.2130914272
154	0.2128461378
155	0.2126919178
156	0.2125229127
157	0.2123367879
158	0.2121698561
159	0.2120414591
160	0.2119112541
161	0.2117129707
162	0.2116115002
163	0.21146224
164	0.2112861883
165	0.2111508003
166	0.2109643408
