iter	Passed	Remaining
0	3	1726
1	5	1416
2	7	1304
3	10	1247
4	12	1277
5	15	1311
6	19	1345
7	21	1336
8	24	1335
9	26	1304
10	28	1287
11	32	1317
12	35	1327
13	37	1313
14	40	1308
15	43	1306
16	45	1306
17	48	1310
18	51	1296
19	53	1286
20	56	1278
21	59	1281
22	62	1298
23	65	1298
24	68	1297
25	71	1296
26	73	1285
27	75	1278
28	78	1280
29	81	1278
30	84	1272
31	86	1265
32	89	1268
33	92	1261
34	95	1266
35	97	1258
36	100	1253
37	102	1249
38	105	1242
39	108	1245
40	112	1263
41	115	1257
42	117	1252
43	120	1244
44	122	1235
45	124	1226
46	126	1223
47	129	1219
48	131	1214
49	134	1209
50	136	1206
51	139	1200
52	142	1199
53	145	1201
54	148	1198
55	150	1195
56	154	1202
57	158	1206
58	161	1205
59	163	1201
60	166	1198
61	168	1193
62	171	1190
63	174	1190
64	177	1185
65	179	1181
66	182	1176
67	184	1170
68	186	1167
69	189	1166
70	192	1166
71	198	1180
72	200	1174
73	203	1168
74	205	1167
75	208	1165
76	211	1160
77	213	1154
78	215	1150
79	218	1145
80	220	1141
81	223	1140
82	226	1136
83	228	1132
84	230	1126
85	233	1123
86	235	1119
87	238	1118
88	241	1116
89	244	1112
90	246	1107
91	248	1102
92	254	1112
93	257	1112
94	259	1108
95	262	1105
96	264	1099
97	267	1096
98	270	1095
99	273	1092
100	275	1089
101	278	1085
102	280	1081
103	282	1076
104	285	1073
105	287	1070
106	290	1066
107	292	1061
108	294	1056
109	296	1052
110	299	1048
111	301	1045
112	304	1042
113	308	1046
114	311	1042
115	313	1039
116	316	1037
117	320	1036
118	322	1032
119	325	1029
120	327	1025
121	329	1022
122	333	1021
123	335	1018
124	338	1016
125	341	1012
126	343	1008
127	345	1004
128	348	1001
129	351	1000
130	353	997
131	356	993
132	358	990
133	362	990
134	367	992
135	369	988
136	371	985
137	374	981
138	376	977
139	379	975
140	382	973
141	384	969
142	386	965
143	388	961
144	391	957
145	393	953
146	396	952
147	399	951
148	402	948
149	404	944
150	407	941
151	409	937
152	412	934
153	414	931
154	416	927
155	419	925
156	423	926
157	426	922
158	429	921
159	432	919
160	434	915
161	437	912
162	439	909
163	442	906
164	445	905
165	448	901
166	450	898
