iter	Passed	Remaining
0	48	14595
1	97	14552
2	147	14567
3	200	14861
4	247	14610
5	295	14456
6	343	14374
7	389	14229
8	439	14199
9	486	14107
10	535	14079
11	580	13932
12	628	13868
13	677	13832
14	724	13774
15	768	13636
16	817	13617
17	869	13623
18	919	13593
19	968	13563
20	1023	13593
21	1072	13550
22	1118	13467
23	1166	13411
24	1209	13309
25	1256	13242
26	1304	13185
27	1357	13187
28	1403	13115
29	1451	13062
30	1496	12988
31	1546	12951
32	1593	12889
33	1642	12848
34	1688	12785
35	1737	12742
36	1785	12690
37	1830	12623
38	1882	12597
39	1928	12537
40	1973	12468
41	2017	12392
42	2060	12314
43	2110	12279
44	2160	12242
45	2210	12206
46	2256	12146
47	2306	12111
48	2358	12080
49	2404	12020
50	2449	11961
51	2497	11912
52	2548	11878
53	2592	11808
54	2636	11745
55	2682	11687
56	2730	11639
57	2780	11600
58	2824	11539
59	2875	11502
60	2924	11459
61	2976	11424
62	3024	11377
63	3072	11329
64	3122	11289
65	3171	11244
66	3213	11174
67	3256	11110
68	3304	11062
69	3354	11022
70	3398	10960
71	3444	10906
72	3493	10864
73	3539	10808
74	3585	10757
75	3637	10721
76	3690	10688
77	3736	10634
78	3782	10582
79	3831	10537
80	3879	10488
81	3922	10427
82	3964	10365
83	4010	10312
84	4062	10275
85	4110	10229
86	4158	10181
87	4203	10127
88	4248	10073
89	4289	10009
90	4340	9969
91	4386	9917
92	4437	9876
93	4481	9821
94	4528	9771
95	4571	9715
96	4615	9658
97	4663	9612
98	4712	9567
99	4763	9526
100	4810	9477
101	4861	9436
102	4907	9385
103	4950	9329
104	5001	9288
105	5046	9236
106	5093	9186
107	5137	9132
108	5184	9085
109	5228	9031
110	5280	8990
111	5324	8937
112	5377	8898
113	5422	8846
114	5469	8799
115	5515	8748
116	5560	8697
117	5601	8640
118	5643	8583
119	5695	8543
120	5738	8489
121	5783	8438
122	5829	8388
123	5876	8340
124	5927	8298
125	5974	8250
126	6036	8223
127	6086	8178
128	6132	8128
129	6182	8085
130	6227	8033
131	6269	7979
132	6321	7937
133	6371	7892
134	6415	7841
135	6467	7799
136	6514	7750
137	6562	7703
138	6608	7654
139	6654	7605
140	6701	7557
141	6744	7504
142	6790	7455
143	6835	7404
144	6888	7363
145	6932	7312
146	6977	7262
147	7027	7217
148	7073	7168
149	7123	7123
150	7173	7078
151	7217	7028
152	7267	6982
153	7317	6937
154	7358	6884
155	7405	6836
156	7450	6786
157	7495	6736
158	7541	6687
159	7587	6639
160	7635	6592
161	7686	6547
162	7737	6503
163	7788	6458
164	7838	6413
165	7890	6369
166	7920	6307
167	7965	6258
168	8014	6212
169	8059	6163
170	8109	6117
171	8157	6070
172	8206	6024
173	8248	5973
174	8293	5923
175	8339	5875
176	8388	5829
177	8432	5779
178	8478	5731
179	8521	5681
180	8573	5636
181	8617	5587
182	8668	5541
183	8717	5495
184	8780	5458
185	8841	5419
186	8892	5373
187	8944	5328
188	8984	5276
189	9030	5227
190	9078	5180
191	9128	5134
192	9178	5088
193	9221	5038
194	9272	4992
195	9321	4945
196	9372	4900
197	9418	4851
198	9464	4803
199	9508	4754
200	9558	4707
201	9609	4661
202	9653	4612
203	9699	4564
204	9744	4515
205	9766	4456
206	9818	4411
207	9865	4363
208	9910	4314
209	9954	4266
210	10002	4219
211	10054	4173
212	10097	4124
213	10141	4075
214	10185	4026
215	10227	3977
216	10276	3930
217	10318	3881
218	10365	3833
219	10416	3787
220	10459	3738
221	10509	3692
222	10535	3637
223	10578	3589
224	10622	3540
225	10671	3494
226	10715	3445
227	10762	3398
228	10811	3352
229	10858	3304
230	10906	3257
231	10958	3212
232	11008	3165
233	11056	3118
234	11102	3070
235	11150	3023
236	11199	2977
237	11243	2929
238	11293	2882
239	11346	2836
240	11387	2787
241	11435	2740
242	11483	2693
243	11526	2645
244	11576	2598
245	11630	2553
246	11677	2505
247	11727	2459
248	11773	2411
249	11822	2364
250	11870	2317
251	11917	2270
252	11962	2222
253	12003	2173
254	12053	2127
255	12097	2079
256	12151	2033
257	12181	1983
258	12227	1935
259	12273	1888
260	12320	1840
261	12366	1793
262	12409	1745
263	12456	1698
264	12498	1650
265	12547	1603
266	12598	1557
267	12641	1509
268	12688	1462
269	12737	1415
270	12785	1368
271	12833	1321
272	12885	1274
273	12929	1226
274	12976	1179
275	13019	1132
276	13062	1084
277	13107	1037
278	13159	990
279	13206	943
280	13257	896
281	13305	849
282	13353	802
283	13401	754
284	13447	707
285	13489	660
286	13538	613
287	13586	566
288	13633	518
289	13683	471
290	13734	424
291	13781	377
292	13828	330
293	13872	283
294	13920	235
295	13973	188
296	14023	141
297	14069	94
298	14115	47
299	14160	0
